+	mag	Mæg	mag
+	þæt	þæt	þæt|se
+	heo	heo	heo
-	feran	færen	None
+	motan	moste	motan
+	geond	geond	geond
+	his	his	hit|his|he
+	ham	hames	ham
+	on	on	on|an
+	Alexandisc	Alexandiscre	alexandisc
+	scir	scyre	scir
-	willan	Wolde	None
+	swa	swa	swa
+	cepan	cepan	cepan
+	se	þære	þære|se
+	cristen	cristenra	cristen
+	lar	lare	lar
+	forðam	forðan	forðam
+	þe	þe	þu|þe|se
+	heo	heo	heo
+	ne	n	næs|ne
-	habban	æfde	None
+	on	on	on|an
+	se	ðære	se
+	burh	byrig	burh|burg
+	nan	nænne	nan
+	geleafful	geleaffulne	geleaffull|geleafful
+	mann	mann	mann
+	þe	þe	þu|þe|se
+	heo	hi	hi|heo
+	læran	læren	læran|lesan
+	cunnan	cuþe	cuþ|cunnan
+	forðam	forðan	forðam
+	Philippus	Philippus	philippus
+	afleon	aflygde	afleon
+	se	þa	þu|þa|se
+	cristen	cristenan	cristen
+	of	of	of
+	Alexandria	Alexandrian	alexandria
+	eal	ealle	ealle|eall|eal
+	on	on	on|an
+	ær	ær	ær
-	hwæt	Hwæt	None
+	þa	þa	þu|þa|se
+	Eugenia	EVGENIA	eugenia
+	arodlice	ardlice	arodlice
-	feran	færde	None
+	oþ	oð	oþ|oð
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	becuman	becom	becuman
+	þær	þær	þær
+	se	ða	þe|þa|ða|se
+	cristen	cristenan	cristen
+	singan	sungen	singan
+	mid	mid	mid
+	micel	mycelre	micel
+	blis	blisse	bliss|blis
+	þus	þus	þus
+	mærsian	mærsigende	mærsian
+	God	God	god
+	Omnes	Omnes	omnes
+	dii	dii	dii
+	gentium	gentium	gentium
+	demonia	demonia	demonia
+	dominus	dominus	dominus
+	autem	autem	autem
+	cælos	cælos	cælos
+	fecit	fecit	fecit
+	eal	Ealle	eal
+	se	þære	þære|se
+	hæðen	hæðenra	hæðen
+	god	godas	gripe|god|ben
-	wesan	syndon	None
+	Deofol	deofla	deofol
+	and	and	and
+	Dryhten	Dryhten	dryhten
+	soþlice	soðlice	soþlice|soðlice
+	heofon	heofonas	heofon
+	gewyrcan	geworhte	gewyrсean|gewyrсan|gewyrcan
+	Eugenia	Eugenia	eugenia
+	þa	þa	þu|þa|se
+	micel	mycclum	micel
-	weorþan	wearð	None
+	onbryrdan	onbryrd	onbryrdan
+	and	and	and
+	mid	mid	mid
+	wop	wope	wop
+	gesprecan	gespræc	gesprecan
+	hire	hire	hire|heo
+	twegen	twægen	twægen|twegen
+	cniht	cnihtas	cniht
+	se	þære	þære|se
+	nama	naman	naman|nama
+	wesan	wæron	wesan|seon|beon
+	Protus	Protus	protus
+	et	et	etan|et
+	Iacinctus	Iacinctus	iacinctus
+	se	Þa	þa|se
+	wesan	wæron	wesan|seon|beon
-	gelæran	gelærede	gelæred
+	on	on	on|an
+	Læden	Leden	læden
+	and	and	and
+	on	on	on|an
+	Grecisc	grecisc	grecisc
+	mid	mid	mid
+	Eugenia	Eugenian	eugenia
+	mid	mid	mid
+	weoroldlic	woruldlicra	woruldliс|weoroldlic
+	lar	lare	lar
+	and	and	and
+	wesan	wæron	wesan|seon|beon
+	eunuchi	eunuchi	eunuchi
+	se	þæt	þæt|se
-	wesan	synt	None
+	belisnian	belisnode	belisnian
+	and	and	and
+	wesan	wæron	wesan|seon|beon
+	hira	heora	hira|hi|heore
+	hlæfdige	hlæfdige	hlæfdige
+	hold	holde	hold
+	and	and	and
+	getreowe	getrywe	getreowe
+	þa	Ða	þa|se
+	niman	nam	niman
+	Eugenia	Eugenia	eugenia
+	hi	hi	hi|heo
+	on	on	on|an
+	sundorspræc	sundorspræce	sundorspræc
+	hatan	het	hettan|het|hedan|hatan
+	hi	hi	hi|heo
+	gebroðor	gebroðra	gebroðor
+	and	and	and
+	biddan	bæd	bædan|biddan
+	þæt	þæt	þæt|se
+	hi	hi	hi|heo
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
-	feax	fæx	None
+	forceorfan	forcurfon	forсeorfan|forceorfan
+	on	on	on|an
+	wæpenmann	wæpmonna	wæpenmann
+	wise	wysan	wise
+	and	and	and
+	mid	mid	mid
-	wæd	wædum	None
+	gehiwian	gehiwodon	gehiwian
+	swilce	swylce	swilce
+	heo	heo	heo
+	cniht	cniht	cniht
+	wesan	wære	wære|wær|wesan|seon|beon
-	willan	Wolde	None
+	se	ðam	ðam|se
+	cristen	cristenan	cristen
+	genealæcan	genealecan	genealæcan
+	on	on	on|an
+	werlic	wærlicum	werlic
+	hiw	hiwe	hiw
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	ne	ne	nesan|neh|ne
+	weorþan	wurde	weorþan
+	ameldian	ameldod	ameldian
+	hi	Hi	hi
-	feran	færdon	None
+	þa	ða	þe|þa|ða|se
+	þri	þry	þri
+	and	and	and
+	hira	heora	hira|hi|heore
+	gefera	gefæran	gefera
+	forlætan	forleton	forlætan
+	oþ	oð	oþ|oð
+	þæt	þæt	þæt|se
+	hi	hi	hi|heo
-	becuman	becoman	None
+	to	to	toh|to
+	se	ðære	se
+	cristen	cristenra	cristen
+	wunung	wununge	wunung
+	þær	þær	þær
+	hi	hi	hi|heo
+	dæg	dæges	dæg
+	and	and	and
+	niht	nihtes	niht
+	hira	heora	hira|hi|heore
+	Dryhten	Drihten	dryhten
-	herian	heroden	None
+	on	On	on
+	se	ðam	ðam|se
+	ilca	ylcan	ilca
+	dæg	dæge	dæge|dæg
+	cuman	com	cuman
+	sum	sum	sum|su
+	bisceop	bisceop	bisceop
+	Helenus	Helenus	helenus
+	gehatan	gehaten	hatan|gehatan
+	halig	haliges	halig
+	lifes	lifes	lifes|lif
+	mid	mid	mid
+	micel	mycelre	micel
+	menigu	meniu	menigu
+	anmodlice	anmodlice	anmodlice
+	singan	singende	singan
+	Uia	Uia	uia
+	iustorum	iustorum	iustorum
+	recta	recta	recta
+	facta	facta	facta
+	est	est	est
+	et	et	etan|et
+	iter	iter	iter
+	Sanctorum	sanctorum	sanctorum
+	preparata	preparata	preparata
+	est	est	est
+	se	þæt	þæt|se
+	wesan	is	wesan|seon|is
+	se	þæra	se
+	rihtwis	rihtwisra	rihtwis
-	weg	wæg	wegan
+	wesan	is	wesan|seon|is
+	gerihtlæcan	gerihtlæced	gerihtlæcan
+	and	and	and
+	se	þæra	se
+	halga	halgena	halig|halga|haleg
+	siþfæt	siðfæt	siþfæt
+	wesan	is	wesan|seon|is
+	gegearcian	gegearcod	gegearcian|gearcian
+	þes	Þes	þes
+	bisceop	bisceop	bisceop
-	wyrcan	worhta	None
+	fela	fæla	fæle|fela
+	wundor	wundra	wundrian|wundor|wund
+	þurh	þuruh	þurh
+	God	God	god
+	and	and	and
+	he	him	him|hi|he
-	weorþan	wearð	None
+	geswutelian	geswutelod	geswutelian
+	on	on	on|an
+	swefen	swæfne	swefen
+	be	be	be
+	þes	þysum	þes
+	and	and	and
+	eal	eall	eall|eal
+	se	þæs	se
-	mægden	mædenes	mæden
+	mod	mod	mod
+	he	him	him|hi|he
-	weorþan	wearð	None
+	ameldian	ameldod	ameldian
+	þa	Ða	þa|se
+	gesprecan	gespræc	gesprecan
+	se	þæt	þæt|se
-	mægden	mæden	mæden|mecgan
+	sum	sumne	sum
+	mæssepreost	messepreost	mæssepreost
+	Eutropius	Eutropius	eutropius
+	gehatan	gehaten	hatan|gehatan
+	þæt	þæt	þæt|se
+	he	he	he
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	ærend	ærende	ærende|ærend
+	abeodan	abude	abeodan
+	se	þam	þæm|þam|se
+	bisceop	bisceope	bisceop
+	þes	þysum	þes
+	word	wordum	word
+	geornlice	geornlice	geornlice
+	we	we	we
+	þri	ðry	þri
+	gebroðor	gebroðra	gebroðor
-	willan	wyllað	None
+	gecyrran	gecyrran	gecyrran
+	fram	fram	fram
+	se	þam	þæm|þam|se
+	ful	fulan	ful
+	hæðenscipe	hæðenscype	hæðenscipe
+	to	to	toh|to
+	hælend	hælende	hælend|hælan
+	Crist	Criste	crist|Crist
+	and	and	and
+	we	we	we
+	ne	n	næs|ne
-	willan	ellað	None
+	nateshwon	nateshwon	nateshwon
+	we	us	we|us
+	næfre	næfre	næfre
-	totwæman	totweman	None
+	þa	Þa	þa|se
+	se	þæs	se
+	on	on	on|an
+	merigen	mergen	merigen
+	se	se	se
+	mæssepreost	mæssepreost	mæssepreost
+	abeodan	abead	abeodan
+	se	þæs	se
-	mægden	mædenes	mæden
+	word	word	word
+	se	þam	þæm|þam|se
+	mære	mæron	mære
+	bisceop	bisceope	bisceop
+	þa	Þa	þa|se
+	hatan	het	hettan|het|hedan|hatan
+	se	se	se
+	bisceop	bisceop	bisceop
+	heo	hi	hi|heo
+	gelangian	gelangian	gelangian
+	micel	mycclum	micel
+	þancian	þanciende	þancian
+	se	þam	þæm|þam|se
+	eallmihtig	ælmihtigan	ælmihtig|eallmihtig
+	God	Gode	god
+	þæt	þæt	þæt|se
+	he	he	he
+	willan	wolde	willan
+	he	him	him|hi|he
+	onwreon	onwreon	onwreon
+	se	þæs	se
-	mægden	mædenes	mæden
+	willa	wyllan	willa
+	he	He	he
+	geniman	genam	geniman
+	heo	hi	hi|heo
+	þa	þa	þu|þa|se
+	onsundrum	onsundron	onsundrum
+	and	and	and
+	secgan	sæde	sæd|secgan
+	heo	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	Gewislice	gewislice	gewislice
-	hwæt	hwæt	hwæt#2
+	heo	heo	heo
+	mann	man	munan|mann|man
+	ne	ne	nesan|neh|ne
+	wesan	wæs	wesan|seon|beon
+	and	and	and
+	hwilc	hwylcere	hwilc
+	mægþ	mægþe	mægþ
+	and	and	and
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	þurh	þurh	þurh
+	mægþhad	mægðhad	mægþhad
+	micel	mycclum	micel
+	gelician	gelicode	gelician
+	se	þam	þæm|þam|se
+	heofonlic	heofonlican	heofonlic
+	cyning	cyninge	cyninge|cyning
+	þe	þe	þu|þe|se
+	heo	heo	heo
+	geceosan	gecoren	сeosan|geсeosan|gecoren|geceosan|ceosan
+	habban	hæfde	habban
+	and	and	and
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	sculan	sceolde	sculan
+	swiþlice	swiðlice	swiþlice
+	eahtnes	æhtnyssa	eahtnes
+	for	for	for|faran
+	mægþhad	mægðhade	mægþhad
-	þrowian	ðrowian	None
+	and	and	and
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	beon	beon	beon|beo|bannan
+	gescildan	gescyld	gescildan
+	þurh	þurh	þurh
+	se	þone	se
-	soþ	soðan	soð
+	Dryhten	Drihten	dryhten
+	þe	þe	þu|þe|se
+	gescildan	gescylt	gescildan
+	his	his	hit|his|he
+	geceosan	gecorenan	geceosan
+	to	To	to
+	hire	hire	hire|heo
+	twegen	twam	twegen
+	cniht	cnihtum	cniht
+	he	he	he
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt|se
+	hi	hi	hi|heo
-	healdan	heoldan	None
+	æþelborenness	æþelborennyss	æþelborenness
+	on	on	on|an
+	mod	mode	mod
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	þe	þe	þu|þe|se
+	hi	hi	hi|heo
+	mann	mannum	mann
+	þeowian	þeowdon	þeowian|þeowan
+	and	and	and
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt|se
+	hi	hi	hi|heo
+	Crist	Crist	crist|Crist
+	gesprecan	gespræce	gesprecan
+	þes	þysum	þes
+	godspellic	godspellicum	godspellic
+	word	wordum	word
+	ne	Ne	ne
+	hatan	hate	hatan|hat
+	ic	ic	ic
+	ge	eow	ge|eowan|eow
+	na	na	na
+	þeow	þeowan	þeowan|þeow
+	ac	ac	acan|ac
+	ge	ge	ge
-	wesan	synd	None
+	min	mine	min
+	freond	freond	freond
+	þa	Þa	þa|se
+	bebeodan	bebead	bebeodan
+	se	se	se
+	bisceop	biscop	bisceop
+	se	þam	þæm|þam|se
+	gebugan	gebogenan	gebugan
-	mægden	mædene	mæden
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	swa	swa	swa
-	þurhwunian	þurhwunade	None
+	on	on	on|an
+	se	þam	þæm|þam|se
+	werlic	wærlicum	werlic
+	hiw	hiwe	hiw
+	oþ	oþ	oþ
+	þæt	þæt	þæt|se
+	hi	hi	hi|heo
+	on	on	on|an
+	fant	fante	fant
+	gefullian	gefullode	gefyllan|gefullian
+	weorþan	wurdon	wurdon|weorþan
+	and	and	and
+	mynsterlic	mynsterlicre	mynsterlic
+	drohtnung	drohtnunge	drohtnung
+	dearnunga	dearnunge	dearnunga
+	geþeodan	geþeodde	geþeodan
+	Eugenia	Eugenia	eugenia
+	þa	þa	þu|þa|se
+	wunian	wunode	wunian
+	on	on	on|an
+	se	þam	þæm|þam|se
+	mynster	mynstre	mynster
+	mid	mid	mid
+	werlic	wærlicum	werlic
+	mod	mode	mod
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	þe	þe	þu|þe|se
+	heo	heo	heo
-	mægden	mæden	mæden|mecgan
+	wesan	wære	wære|wær|wesan|seon|beon
+	mid	mid	mid
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	twegen	twam	twegen
+	cniht	cnihtum	cniht
+	uncuþ	uncuð	uncuþ
+	gehwa	gehwam	gehwa
+	and	And	and
+	healdan	heold	healdan
+	on	on	on|an
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	þeaw	þeawum	þeaw
+	halig	halige	halig
+	drohtnung	drohtnunge	drohtnung
+	þurh	ðurh	þurh|ðurh
+	mod	modes	mod
+	liðness	liþnesse	liðness
+	and	and	and
+	micel	mycelre	micel
+	eadmodnes	eadmodnesse	eadmodnes
+	and	and	and
+	þurh	þurh	þurh
+	halig	halige	halig
+	mægen	mægnu	mægen
+	se	þam	þæm|þam|se
+	hælend	hælende	hælend|hælan
+	gecweman	gecwæmde	gecweman
+	heo	Heo	heo
+	þeon	þeah	þiсgan|þicgan|þeon|þeah
+	on	on	on|an
+	lar	lare	lar
+	se	þæs	se
+	riht	rihtan	rihtan|riht
+	geleafa	geleafan	geleafa
+	and	and	and
+	on	on	on|an
+	godcundlic	godcundlicum	godcundlic
-	gewrit	gewrytum	None
+	mid	mid	mid
+	god	godum	god
+	willa	wyllan	willa
+	and	and	and
-	weorþan	wearð	None
+	awendan	awend	awendan
+	of	of	of
+	wulf	wulfe	wulf
+	to	to	toh|to
+	sceap	sceape	sceap
+	heo	Hyre	heo
+	geefemlæcan	geeuenlæhton	geefemlæcan
+	eac	eac	eacan|eac
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	cniht	cnihtas	cniht
+	Protus	Protus	protus
+	et	et	etan|et
+	Iacinctus	Iacinctus	iacinctus
+	on	on	on|an
+	synderlic	synderlicre	synderliс|synderlic
+	drohtnung	drohtnunge	drohtnung
+	and	and	and
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	digolnes	digolnysse	digolnes
+	eal	eallum	eall|eal
+	bedyrnan	bedyrndon	bedyrnan
+	Philippus	Philippus	philippus
+	þa	ða	þe|þa|ða|se
+	se	se	se
+	fæder	fæder	fæder
-	forweorþan	forwearð	None
+	on	on	on|an
+	mod	mode	mod
+	and	and	and
+	se	seo	seon|seo|se
+	modor	modor	modor
+	Claudia	Claudia	claudia
+	mid	mid	mid
+	murcnung	murcnunge	murcnung
+	wesan	wæs	wesan|seon|beon
+	forniman	fornumen	forniman
+	and	and	and
+	eal	eall	eall|eal
+	se	seo	seon|seo|se
+	mægþ	mægð	mægþ
+	on	on	on|an
+	mod	mode	mod
-	weorþan	wearð	None
+	astyrian	astyred	astyrian
+	and	and	and
+	secan	sohten	sœ̄сan|seсan|secan
+	se	þæt	þæt|se
+	mæden	mæden	mæden|mecgan
+	mid	mid	mid
+	micel	mycelre	micel
+	sarness	sarnysse	sarness
+	hi	Hi	hi
-	ascian	axoden	axian
+	æt	æt	æt|etan
+	wicca	wyccum	wicca
+	and	and	and
+	æt	æt	æt|etan
+	wis	wisum	wise|wis
+	dry	dryum	dry
+	eac	eac	eacan|eac
+	æt	æt	æt|etan
+	hira	heora	hira|hi|heore
+	leas	leasum	leas
+	god	godum	god
+	be	be	be
+	se	þære	þære|se
+	God	Godes	godes|god
+	þignen	þinene	þignen
+	he	Him	him|hi|he
-	weorþan	wearð	None
+	þa	þa	þu|þa|se
+	gesecgan	gesæd	gesecgan
+	to	to	toh|to
+	soþ	soþum	soþ
+	þing	þinge	þingan|þing
+	þæt	þæt	þæt|se
+	se	ða	þe|þa|ða|se
+	god	godes	god
+	heo	hi	hi|heo
+	gegripan	gegripon	gegripan
+	for	for	for|faran
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	godnes	godnysse	godnes
+	þa	Þa	þa|se
+	gelifan	gelyfde	gelyfan|gelifan
+	se	se	se
+	fæder	fæder	fæder
+	se	þære	þære|se
+	leasung	leasunga	leasung
+	and	and	and
+	het	het	hettan|het|hedan|hatan
+	asmiðian	asmiðigen	asmiðian
+	of	of	of
+	smæte	smætum	smæte
+	gold	golde	gold
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	anlicnes	anlycnysse	anlicnes
+	and	and	and
+	se	þa	þu|þa|se
-	weorþian	wurðode	None
+	swa	swa	swa
+	swa	swa	swa
+	halig	halige	halig
+	gyden	gydenan	gyden
+	ac	ac	acan|ac
+	hit	hit	hit
+	wesan	wæs	wesan|seon|beon
+	gold	gold	gold
+	swa	swa	swa
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	þa	Þa	þa|se
+	æfter	æfter	æfter
+	þri	þrym	þri
+	gear	gearum	gear
+	se	þæs	se
+	þe	þe	þu|þe|se
+	heo	heo	heo
+	gecyrran	gecyrred	gecyrran
+	wesan	wæs	wesan|seon|beon
+	gewitan	gewat	gewitan
+	se	se	se
+	abbad	abbod	abbad
+	þe	þe	þu|þe|se
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	ealdor	ealdor	ealdor
+	wesan	wæs	wesan|seon|beon
+	and	And	and
+	se	þa	þu|þa|se
+	gebroðor	gebroðra	gebroðor
+	sona	sona	sona
-	ceosan	ceosan	None
+	onginnan	ongunnen	onginnan
+	Eugenia	Eugenian	eugenia
+	to	to	toh|to
+	abbad	abbude	abbad
+	for	for	for|faran
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	arfæst	arfæstan	arfæst
+	lif	life	lif
+	and	and	and
+	ne	n	næs|ne
-	witan	yston	ystan
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	wesan	wæs	wesan|seon|beon
-	wifmann	wimman	None
+	swa	swa	swa
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	þa	Ða	þa|se
-	weorþan	wearð	None
+	se	þæt	þæt|se
-	mægden	mæden	mæden|mecgan
+	micel	mycclum	micel
+	hohfull	hohful	hohfull
+	hu	hu	hu
+	heo	heo	heo
+	æfre	æfre	æfre
+	wer	wæras	wer
+	wissian	wissian	wissian
+	sculan	sceolde	sculan
+	ne	Ne	ne
+	durran	dorste	durran
+	swa	swa	swa
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	hi	hi	hi|heo
+	eal	ealle	ealle|eall|eal
+	gedrefan	gedrefan	gedrefan
+	and	and	and
+	hira	hyra	hyra|hyr|hira|hi
+	geþeaht	geþeaht	þeссean|þeссan|þeccan|geþeaht
+	forseon	forseon	forseon
+	ac	ac	acan|ac
-	fon	fæng	None
+	to	to	toh|to
+	se	ðam	ðam|se
+	had	hade	had
-	hwæt	Hwæt	None
+	þa	ða	þe|þa|ða|se
+	Eugenia	Eugenia	eugenia
+	he	hym	he
+	eal	eallum	eall|eal
+	gebysnian	gebysnode	gebysnian
+	mid	mid	mid
+	god	goddre	god
+	gedrohtnung	gedrohtnunge	gedrohtnung
+	to	to	toh|to
+	God	Godes	godes|god
+	þeowdom	þeowdome	þeowdom
+	and	and	and
+	mid	mid	mid
+	carfulnys	carfulnysse	carfulnys
+	se	þonne	þonne|se
+	hyred	hyred	hyred|hyran|gehyran
+	gewissian	gewissode	gewissian
+	heo	Hyre	heo
-	geunnan	geuðe	None
+	þa	þa	þu|þa|se
+	se	se	se
+	eallmihtig	ælmihtiga	ælmihtig|eallmihtig
+	wealdend	wealdend	wealdend
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	untrum	untrume	untrum
+	mann	menn	mann
+	magan	mihte	miht|meaht|magan
+	gehælan	gehælan	gehælan
+	swa	swa	swa
+	hwilc	hwylcne	hwilc
+	swa	swa	swa
+	heo	heo	heo
+	geneosian	geneosode	geneosian
+	licgan	licgende	licgan
+	on	on	on|an
+	sar	sare	sar
+	heo	Heo	heo
+	afleon	aflygde	afleon
+	eac	eac	eacan|eac
+	swilce	swylce	swilce
+	se	þa	þu|þa|se
+	ful	fulan	ful
+	Deofol	deofla	deofol
+	fram	fram	fram
+	ofsettan	ofsættum	ofsettan
+	mann	mannum	mann
+	þurh	þurh	þurh
-	soþ	soðne	soð
+	geleafa	geleafan	geleafa
+	þa	Þa	þa|se
+	wesan	wæs	wesan|seon|beon
+	sum	sum	sum|su
+	wif	wif	wif
+	welig	wælig	welig
+	on	on	on|an
+	æht	æhtum	æht
+	Melantia	Melantia	melantia
+	gecigan	gecyged	gecigan
+	swiðe	swiðe	swiðe|swiðan
+	þearle	þearle	þearle
+	gedreccan	gedreht	gedreccan|dreссan
+	mid	mid	mid
+	langsumum	langsumum	langsumum|langsum
+	fefer	feofore	fefer
+	and	and	and
+	cuman	com	cuman
+	to	to	toh|to
+	se	ðære	se
+	fæmne	femnan	fæmne
+	Eugenia	Eugenia	eugenia
+	þa	þa	þu|þa|se
+	heo	hi	hi|heo
+	gesmyrian	gesmyrode	gesmyrian
+	mid	mid	mid
+	gehalgian	gehalgodum	gehalgian
+	ele	ele	elh|ele
+	and	and	and
+	eac	eac	eacan|eac
+	gemearcian	gemearcode	gemearcod|gemearcian
+	mid	mid	mid
+	rodetacen	rodetacne	rodetacen
+	and	And	and
+	heo	heo	heo
+	se	þæt	þæt|se
