+	Ohthere	Ohthere	ohthere
+	he	he	he
+	þær	ðær	þær
+	bidan	bidan	bidan
+	rihtnorþanwind	ryhtnorþanwindes	rihtnorþanwind
+	for	for	for
+	þæm	ðæm	þæm
-	se	þæt	þæt
+	land	land	land
+	bugan	beag	bugan
+	þær	þær	þær
+	suþrihte	suþryhte	suþrihte
-	oððe	oþþe	oþþe
-	se	seo	seon
+	sæ	sæ	sæ
+	in	in	in
+	on	on	on
-	se	ðæt	þæt
+	land	land	land
+	he	he	he
-	ne	n	næs
-	witan	ysse	None
+	hwæðer	hwæþer	hwæðer
+	þa	Þa	þa
-	seglan	siglde	siglan
+	he	he	he
+	þanan	þonan	þanan
+	suþrihte	suðryhte	suþrihte
+	be	be	be
+	land	lande	land
+	swa	swa	swa
+	swa	swa	swa
+	he	he	he
+	magan	mehte	magan
+	on	on	on
+	fif	fif	fif
+	dæg	dagum	dæg
+	geseglian	gesiglan	geseglian
+	þa	Ða	þa
-	licgan	læg	liсgan
+	þær	þær	þær
-	an	an	on
+	micel	micel	micel
+	ea	ea	ea
+	up	up	up
+	in	in	in
+	on	on	on
-	se	þæt	þæt
+	land	land	land
+	þa	Þa	þa
+	cyrran	cirdon	cyrran
+	hi	hie	hi
+	up	up	up
+	in	in	in
+	on	on	on
-	se	ða	þe
+	ea	ea	ea
+	for	for	for
+	þæm	þæm	þæm
+	hi	hie	hi
-	ne	ne	nesan
+	durran	dorston	durran
+	forþ	forþ	forþ
-	be	bi	bi
-	se	þære	þære
+	ea	ea	ea
-	seglan	siglan	siglan
+	for	for	for
+	unfriþ	unfriþe	unfriþ
+	for	for	for
+	þæm	þæm	þæm
-	se	ðæt	þæt
+	land	land	land
+	wesan	wæs	wesan
-	eal	eall	eall
+	gebuan	gebun	gebuan
+	on	on	on
-	oðer	oþre	oþer
+	healf	healfe	healf
-	se	þære	þære
-	ea	eas	None
+	ne	Ne	ne
+	metan	mette	metan
+	he	he	he
+	ær	ær	ær
+	nan	nan	nan
+	gebuan	gebun	gebuan
+	land	land	land
+	siððan	siþþan	siððan
+	he	he	he
-	fram	from	from
-	his	his	hit
+	agen	agnum	agen
+	ham	ham	ham
-	faran	for	for
+	ac	Ac	ac
-	he	him	him
+	wesan	wæs	wesan
-	eal	ealne	eall
-	weg	weg	wegan
+	weste	weste	weste
+	land	land	land
+	on	on	on
-	se	þæt	þæt
+	steorbord	steorbord	steorbord
+	butan	butan	butan
+	fiscere	fiscerum	fiscere
+	&	&	None
+	fugelere	fugelerum	fugelere
+	&	&	None
+	hunta	huntum	hunta
+	&	&	None
-	se	þæt	þæt
+	wesan	wæron	wesan
-	eal	eall	eall
+	Finn	Finnas	finn
+	&	&	None
-	he	him	him
+	wesan	wæs	wesan
-	a	a	wifcynn
+	widsæ	widsæ	widsæ
+	on	on	on
-	se	ðæt	þæt
+	bæcbord	bæcbord	bæcbord
-	se	Þa	þa
+	Beormas	Beormas	beormas
+	habban	hæfdon	habban
+	swiþe	swiþe	swiþe
+	wel	wel	wel
+	gebuan	gebud	gebuan
+	hira	hira	hira
+	land	land	land
-	ac	ac	acan
+	hi	hie	hi
-	ne	ne	nesan
+	durran	dorston	durran
+	þæron	þæron	þæron
+	cuman	cuman	cuman
+	ac	Ac	ac
-	se	þara	þær
+	Terfinn	Terfinna	terfinn
+	land	land	land
+	wesan	wæs	wesan
+	eal	eal	eal
+	weste	weste	weste
+	butan	buton	butan
+	þær	ðær	þær
+	hunta	huntan	hunta
+	gewician	gewicodon	gewician
-	oððe	oþþe	oþþe
+	fiscere	fisceras	fiscere
-	oððe	oþþe	oþþe
+	fugelere	fugeleras	fugelere
+	fela	Fela	fela
-	spell	spella	spellian
-	he	him	him
+	secgan	sædon	secgan
-	se	þa	þu
+	Beormas	Beormas	beormas
+	æghwæðer	ægþer	æghwæðer
+	ge	ge	ge
+	of	of	of
+	hira	hiera	hira
+	agen	agnum	agen
+	land	lande	land
+	ge	ge	ge
+	of	of	of
-	se	þæm	þæm
+	land	landum	land
-	þe	þe	þu
+	ymb	ymb	ymb
+	hi	hie	hi
+	utan	utan	utan
+	wesan	wæron	wesan
-	ac	ac	acan
+	he	he	he
-	ne	n	næs
-	witan	yste	ystan
-	hwæt	hwæt	hwæt#2
+	se	þæs	se
+	soþ	soþes	soþ
+	wesan	wæs	wesan
+	for	for	for
+	þæm	þæm	þæm
+	he	he	he
+	hit	hit	hit
+	self	self	self
-	ne	ne	nesan
+	geseon	geseah	geseon
-	se	Þa	þa
+	Finn	Finnas	finn
-	he	him	him
-	þyncan	þuhte	þynсan
+	&	&	None
-	se	þa	þu
+	Beormas	Beormas	beormas
+	sprecan	spræcon	sprecan
+	neah	neah	neah
-	an	an	on
+	geþeode	geþeode	geþeode
+	swiðe	Swiþost	swiðe
+	he	he	he
-	faran	for	for
+	þider	ðider	þider
+	toeacan	toeacan	toeacan
+	se	þæs	se
+	land	landes	land
+	sceawunge	sceawunge	sceawunge
+	for	for	for
-	se	þæm	þæm
+	horshwæl	horshwælum	horshwæl
+	for	for	for
+	þæm	ðæm	þæm
+	hi	hie	hi
-	habban	habbað	None
+	swiþe	swiþe	swiþe
-	æðele	æþele	æþelu
+	ban	ban	ban
+	on	on	on
+	hira	hiora	hira
+	toþ	toþum	toþ
-	se	þa	þu
-	toþ	teð	None
+	hi	hie	hi
+	bringan	brohton	bringan
+	sum	sume	sum
-	se	þæm	þæm
-	cyning	cyninge	cyninge
+	&	&	None
+	hira	hiora	hira
-	hyd	hyd	hydan
-	beon	bið	None
+	swiðe	swiðe	swiðe
+	god	god	god
-	to	to	toh
+	sciprap	sciprapum	sciprap
+	se	Se	se
+	hwæl	hwæl	hwæl
-	beon	bið	None
+	micel	micle	micel
-	lytel	læssa	læssa
+	þonne	þonne	þonne
+	oðer	oðre	oðer
+	hwæl	hwalas	hwæl
-	ne	ne	nesan
-	beon	bið	None
+	he	he	he
-	lang	lengra	lengra
+	þonne	ðonne	þonne
+	seofon	syfan	seofon
+	eln	elna	eln
+	lang	lang	lang
+	ac	Ac	ac
+	on	on	on
-	his	his	hit
+	agen	agnum	agen
+	land	lande	land
+	wesan	is	wesan
+	se	se	se
+	god	betsta	god
+	hwælhuntaþ	hwælhuntað	hwælhuntaþ
-	se	þa	þu
-	beon	beoð	None
-	eahta	eahta	eahtian
+	and	and	and
+	feowertig	feowertiges	feowertig
+	eln	elna	eln
-	lang	lange	lange
+	&	&	None
-	se	þa	þu
+	micel	mæstan	micel
+	fiftig	fiftiges	fiftig
+	eln	elna	eln
+	lange	lange	lange
+	se	Þara	se
+	he	he	he
-	secgan	sæde	sæd
+	þæt	þæt	þæt
+	he	he	he
+	six	syxa	six
+	sum	sum	sum
+	ofslean	ofsloge	ofslean
+	sixtig	syxtig	sixtig
+	on	on	on
+	twegen	twam	twegen
+	dæg	dagum	dæg
+	he	He	he
+	wesan	wæs	wesan
+	swiðe	swyðe	swiðe
+	spedig	spedig	spedig
-	mann	man	munan
+	on	on	on
-	se	þæm	þæm
+	æht	æhtum	æht
-	þe	þe	þu
+	hira	heora	hira
+	sped	speda	sped
+	on	on	on
-	beon	beoð	None
-	se	þæt	þæt
+	wesan	is	wesan
+	on	on	on
+	wilddeor	wildrum	wilddeor
+	he	He	he
+	habban	hæfde	habban
-	þa	þa	þu
+	git	gyt	git
-	þa	ða	þe
+	he	he	he
+	se	þone	se
-	cyning	cyningc	None
-	secan	sohte	sœ̄сan
+	tam	tamra	tam
-	deor	deora	deore
+	unbeboht	unbebohtra	unbeboht
+	six	syx	six
+	hund	hund	hund
-	se	Þa	þa
+	deor	deor	deor
+	hi	hi	hi
-	hatan	hatað	None
+	hran	hranas	hran
-	se	þara	þær
+	wesan	wæron	wesan
+	six	syx	six
+	stælhran	stælhranas	stælhran
-	se	ða	þe
-	beon	beoð	None
+	swiðe	swyðe	swiðe
-	deore	dyre	None
+	mid	mid	mid
+	Finn	Finnum	finn
+	for	for	for
+	þæm	ðæm	þæm
+	hi	hy	hi
-	fon	foð	None
-	se	þa	þu
+	wilde	wildan	wilde
+	hran	hranas	hran
+	mid	mid	mid
+	he	He	he
+	wesan	wæs	wesan
+	mid	mid	mid
-	se	þæm	þæm
+	fyrst	fyrstum	fyrst
+	mann	mannum	mann
+	on	on	on
-	se	þæm	þæm
+	land	lande	land
-	ne	n	næs
-	habban	æfde	None
+	he	he	he
-	þeah	þeah	þiсgan
+	micel	ma	micel
+	þonne	ðonne	þonne
+	twentig	twentig	twentig
+	hríðer	hryðera	hríðer
+	&	&	None
+	twentig	twentig	twentig
+	sceap	sceapa	sceap
+	&	&	None
+	twentig	twentig	twentig
-	swin	swyna	None
+	&	&	None
-	se	þæt	þæt
+	lytel	lytle	lytel
-	se	þæt	þæt
+	he	he	he
+	erian	erede	erian
+	he	he	he
+	erian	erede	erian
+	mid	mid	mid
-	hors	horsan	None
+	ac	Ac	ac
-	hira	hyra	hyra
+	ar	ar	ar
+	wesan	is	wesan
+	micel	mæst	micel
+	on	on	on
-	se	þæm	þæm
+	gafol	gafole	gafol
-	þe	þe	þu
-	se	ða	þe
+	Finn	Finnas	finn
-	hi	him	him
+	gildan	gyldað	gildan
-	se	Þæt	þæt
+	gafol	gafol	gafol
-	beon	bið	None
+	on	on	on
-	deor	deora	deore
+	fel	fellum	fel
+	&	&	None
+	on	on	on
-	fugol	fugela	None
+	feðer	feðerum	feðer
+	&	&	None
+	hwæl	hwales	hwæl
+	ban	bane	ban
+	&	&	None
+	on	on	on
-	se	þæm	þæm
+	sciprap	sciprapum	sciprap
-	þe	þe	þu
-	beon	beoð	None
+	of	of	of
+	hwæl	hwæles	hwæl
-	hyd	hyde	hydan
-	gewyrcan	geworht	wyrсean
+	&	&	None
+	of	of	of
+	seolh	seoles	seolh
+	æghwilc	Æghwilc	æghwilc
-	gieldan	gylt	gyldan
+	be	be	be
+	his	hys	his
-	gebyrd	gebyrdum	gebyrde
+	se	Se	se
-	byrde	byrdesta	None
-	sculan	sceall	None
-	gieldan	gyldan	gyldan
+	fiftyne	fiftyne	fiftyne
+	mearþ	mearðes	mearþ
-	fel	fell	fellan
+	&	&	None
+	fif	fif	fif
+	hran	hranes	hran
+	&	&	None
-	an	an	on
-	bera	beran	beran
-	fel	fel	felan
+	&	&	None
-	tin	tyn	tynan
+	amber	ambra	amber
+	feðer	feðra	feðer
+	&	&	None
+	beren	berenne	beren
+	cyrtel	kyrtel	cyrtel
+	oððe	oððe	oððe
+	yteren	yterenne	yteren
+	&	&	None
+	twegen	twegen	twegen
+	sciprap	sciprapas	sciprap
+	æghwæðer	ægþer	æghwæðer
-	wesan	sy	su
+	sixtig	syxtig	sixtig
+	eln	elna	eln
+	lang	lang	lang
-	oðer	oþer	oþer
-	wesan	sy	su
+	of	of	of
+	hwæl	hwæles	hwæl
-	hyd	hyde	hydan
-	gewyrcan	geworht	wyrсean
-	oðer	oþer	oþer
+	of	of	of
+	seolh	sioles	seolh
+	he	He	he
-	secgan	sæde	sæd
-	ðæt	ðæt	þæt
+	Norþmann	Norðmanna	norþmann
+	land	land	land
-	wesan	wære	wære
-	swyðe	swyþe	swyþ
+	lang	lang	lang
+	&	&	None
+	swiðe	swyðe	swiðe
+	smæl	smæl	smæl
+	eal	Eal	eal
-	se	þæt	þæt
+	hit	his	hit
-	man	man	munan
+	ahwæþer	aþer	ahwæþer
+	oððe	oððe	oððe
+	ettan	ettan	ettan
+	oððe	oððe	oððe
+	erian	erian	erian
-	magan	mæg	mæg
-	se	þæt	þæt
-	licgan	lið	None
+	wiþ	wið	wiþ
-	se	ða	þe
+	sæ	sæ	sæ
+	&	&	None
-	se	þæt	þæt
+	wesan	is	wesan
-	þeah	þeah	þiсgan
+	on	on	on
+	sum	sumum	sum
+	stow	stowum	stow
+	swiðe	swyðe	swiðe
+	cludig	cludig	cludig
+	&	&	None
-	licgan	licgað	None
+	wilde	wilde	wilde
+	mor	moras	mor
+	wiþ	wið	wiþ
+	eastan	eastan	eastan
+	&	&	None
+	wiþ	wið	wiþ
-	uppan	uppon	uppon
+	efenlang	emnlange	efenlang
-	se	þæm	þæm
+	byn	bynum	byn
+	land	lande	land
+	on	On	on
-	se	þæm	þæm
-	mor	morum	moru
-	eardian	eardiað	None
+	Finn	Finnas	finn
+	&	&	None
-	se	þæt	þæt
+	byn	byne	byn
+	land	land	land
+	wesan	is	wesan
+	easteweard	easteweard	easteweard
-	brad	bradost	None
+	&	&	None
+	simble	symle	simble
+	swa	swa	swa
+	norþ	norðor	norþ
+	swa	swa	swa
+	smæl	smælre	smæl
+	easteweard	Eastewerd	easteweard
+	hit	hit	hit
-	magan	mæg	mæg
-	beon	bion	None
+	sixtig	syxtig	sixtig
+	mil	mila	mil
+	brad	brad	brad
-	oððe	oþþe	oþþe
+	hwene	hwene	hwene
-	brad	brædre	None
+	&	&	None
+	middeweard	middeweard	middeweard
+	þritig	þritig	þritig
+	oððe	oððe	oððe
+	brad	bradre	brad
+	&	&	None
+	norþeweard	norðeweard	norþeweard
+	he	he	he
-	cweþan	cwæð	cweðan
+	þær	þær	þær
+	hit	hit	hit
+	smæl	smalost	smæl
-	wesan	wære	wære
+	þæt	þæt	þæt
+	hit	hit	hit
-	magan	mihte	miht
+	beon	beon	beon
+	þri	þreora	þri
+	mil	mila	mil
+	brad	brad	brad
-	to	to	toh
-	se	þæm	þæm
-	mor	more	moru
+	&	&	None
+	se	se	se
+	mor	mor	mor
+	siððan	syðþan	siððan
+	on	on	on
+	sum	sumum	sum
+	stow	stowum	stow
+	swa	swa	swa
+	brad	brad	brad
+	swa	swa	swa
-	man	man	munan
-	magan	mæg	mæg
+	on	on	on
+	twegen	twam	twegen
-	wicu	wucum	wucu
+	oferferan	oferferan	oferferan
+	&	&	None
+	on	on	on
+	sum	sumum	sum
+	stow	stowum	stow
+	swa	swa	swa
+	brad	brad	brad
+	swa	swa	swa
-	man	man	munan
-	magan	mæg	mæg
+	on	on	on
+	six	syx	six
+	dæg	dagum	dæg
+	oferferan	oferferan	oferferan
+	þonne	Ðonne	þonne
+	wesan	is	wesan
+	toefnes	toemnes	toefnes
-	se	þæm	þæm
+	land	lande	land
+	suþeweard	suðeweardum	suþeweard
+	on	on	on
+	oðer	oðre	oðer
+	healf	healfe	healf
+	se	þæs	se
+	mor	mores	mor
+	Sweoland	Sweoland	sweoland
+	oþ	oþ	oþ
-	se	þæt	þæt
+	land	land	land
+	norþeweard	norðeweard	norþeweard
+	&	&	None
+	toefnes	toemnes	toefnes
-	se	þæm	þæm
+	land	lande	land
+	norþeweard	norðeweardum	norþeweard
-	Cwen	Cwena	None
+	land	land	land
-	se	Þa	þa
-	Cwen	Cwenas	None
+	hergian	hergiað	hergian
+	hwilum	hwilum	hwilum
+	on	on	on
-	se	ða	þe
+	Norþmann	Norðmen	norþmann
+	ofer	ofer	ofer
+	se	ðone	se
+	mor	mor	mor
+	hwilum	hwilum	hwilum
-	se	þa	þu
+	Norþmann	Norðmen	norþmann
+	on	on	on
+	hi	hy	hi
+	&	&	None
+	þær	þær	þær
+	wesan	sint	wesan
+	swiðe	swiðe	swiðe
+	micel	micle	micel
+	mere	meras	mere
+	fersc	fersce	fersc
+	geond	geond	geond
-	se	þa	þu
+	mor	moras	mor
+	&	&	None
-	beran	berað	None
-	se	þa	þu
-	Cwen	Cwenas	None
-	hira	hyra	hyra
-	scip	scypu	None
+	ofer	ofer	ofer
+	land	land	land
+	on	on	on
-	se	ða	þe
+	mere	meras	mere
+	&	&	None
+	þanan	þanon	þanan
+	hergian	hergiað	hergian
+	on	on	on
-	se	ða	þe
+	Norþmann	Norðmen	norþmann
+	hi	hy	hi
-	habban	habbað	None
+	swiðe	swyðe	swiðe
+	lytel	lytle	lytel
-	scip	scypa	None
+	&	&	None
+	swiðe	swyðe	swiðe
-	leoht	leohte	sunnan
+	Ohthere	Ohthere	ohthere
-	secgan	sæde	sæd
+	þæt	þæt	þæt
+	se	sio	se
+	scir	scir	scir
+	hatan	hatte	hatan
+	Halgoland	Halgoland	halgoland
-	þe	þe	þu
+	he	he	he
+	on	on	on
+	buan	bude	buan
+	he	He	he
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	nan	nan	nan
-	mann	man	munan
-	ne	ne	nesan
+	buan	bude	buan
+	be	be	be
+	norþan	norðan	norþan
-	he	him	him
+	þonne	Þonne	þonne
+	wesan	is	wesan
-	an	an	on
+	port	port	port
+	on	on	on
+	suþeweard	suðeweardum	suþeweard
-	se	þæm	þæm
+	land	lande	land
+	se	þone	se
-	man	man	munan
-	hatan	hæt	hætan
+	Sciringesheal	Sciringesheal	sciringesheal
+	þider	Þyder	þider
+	he	he	he
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
-	man	man	munan
-	ne	ne	nesan
-	magan	mihte	miht
+	geseglian	geseglian	geseglian
+	on	on	on
+	an	anum	an
+	monaþ	monðe	monaþ
+	gif	gyf	gif
-	man	man	munan
+	on	on	on
+	niht	niht	niht
+	wician	wicode	wician
+	&	&	None
+	ælc	ælce	ælc
-	dæg	dæge	dæge
+	habban	hæfde	habban
+	ambyr	ambyrne	ambyr
-	wind	wind	windan
+	&	&	None
-	eal	ealle	ealle
-	se	ða	þe
+	hwil	hwile	hwil
+	he	he	he
+	sculan	sceal	sculan
+	seglian	seglian	seglian
+	be	be	be
+	land	lande	land
+	&	&	None
+	on	on	on
-	se	þæt	þæt
+	steorbord	steorbord	steorbord
-	he	him	him
-	beon	bið	None
-	ær	ærest	ærest
+	Iraland	Iraland	iraland
+	&	&	None
+	þonne	þonne	þonne
-	se	ða	þe
+	igland	igland	igland
-	þe	þe	þu
-	wesan	synd	None
+	betweoh	betux	betweoh
+	Iraland	Iralande	iraland
+	&	&	None
+	þes	þissum	þes
+	land	lande	land
+	þonne	Þone	þonne
+	wesan	is	wesan
+	þes	þis	þes
+	land	land	land
+	oþ	oð	oþ
+	he	he	he
-	cuman	cymð	None
-	to	to	toh
+	Sciringesheal	Scirincgesheale	sciringesheal
+	&	&	None
-	eal	ealne	eall
-	weg	weg	wegan
+	on	on	on
-	se	þæt	þæt
+	bæcbord	bæcbord	bæcbord
+	Norþweg	Norðweg	norþweg
+	æfter	Æfter	æfter
-	se	þæm	þæm
-	þe	þe	þu
+	Romeburh	Romeburg	romeburh
+	getimbran	getimbred	getimbran
+	wesan	wæs	wesan
+	feower	IIII	feower
+	hund	hunde	hund
+	winter	wintrum	winter
+	&	&	None
+	twentigsix	XXVI	twentigsix
+	fon	feng	fon
+	Alexander	Alexander	alexander
-	to	to	toh
+	Mæcedonia	Mæcedonia	mæcedonia
-	rice	rice	romana
+	æfter	æfter	æfter
+	Philippus	Philippuse	philippus
-	his	his	hit
+	fæder	fæder	fæder
+	&	&	None
-	his	his	hit
+	ær	ærestan	ær
+	þegenscip	ðegnscipe	þegenscip
+	on	on	on
+	se	ðon	se
-	gecyðan	gecyþde	gecyþan
-	þa	þa	þu
+	he	he	he
-	eal	ealle	ealle
+	Crece	Crecas	crece
+	mid	mid	mid
-	his	his	hit
+	snytro	snyttro	snytro
+	on	on	on
-	his	his	hit
+	geweald	geweald	geweald
-	genedan	geniedde	geniedan
-	eal	ealle	ealle
-	se	þa	þu
-	þe	þe	þu
+	wiþ	wið	wiþ
+	he	hiene	he
+	gewin	gewin	gewin
+	upahebban	upahofon	upahebban
-	se	Þæt	þæt
-	weorþan	wearð	None
-	ær	ærest	ærest
-	fram	from	from
+	Perse	Persum	perse
-	þa	þa	þu
+	hi	hie	hi
+	sellan	sealdon	sellan
+	Demostanas	Demostanase	demostanas
-	se	þæm	þæm
+	philosoph	philosophe	philosoph
+	licgan	licgende	licgan
+	feoh	feoh	feoh
+	wiþ	wið	wiþ
-	se	þæm	þæm
-	þe	þe	þu
+	he	he	he
+	gelæran	gelærde	gelæran
-	eal	ealle	ealle
+	Crece	Crecas	crece
+	þæt	þæt	þæt
+	hi	hie	hi
+	Alexander	Alexandre	alexander
+	wiþsacan	wiðsocen	wiþsacan
+	Athene	Athene	athene
-	beodan	budon	buan
-	gefeoht	gefeoht	gefeohtan
+	Alexander	Alexandre	alexander
-	ac	ac	acan
+	he	he	he
+	hi	hie	hi
+	sona	sona	sona
+	forslean	forslog	forslean
+	&	&	None
+	geflyman	gefliemde	geflyman
+	þæt	þæt	þæt
+	hi	hie	hi
+	siððan	siþþan	siððan
+	ungemetlic	ungemetlicne	ungemetlic
+	ege	ege	ege
-	fram	from	from
-	he	him	him
+	habban	hæfdon	habban
+	&	&	None
+	Thebane	Thebana	thebane
+	fæsten	fæsten	fæsten
+	abrecan	abræc	abrecan
+	&	&	None
+	mid	mid	mid
-	eal	ealle	ealle
+	toweorpan	towearp	toweorpan
+	se	þætte	se
+	ær	ær	ær
+	wesan	wæs	wesan
-	eal	ealra	eall
+	Crece	Creca	crece
+	heafodstol	heafodstol	heafodstol
+	&	&	None
+	siððan	siþþan	siððan
-	se	þæt	þæt
+	folc	folc	folc
-	eal	eall	eall
+	on	on	on
-	elþeod	ellþeodge	None
-	he	him	him
+	wiþ	wið	wiþ
+	feoh	feo	feoh
+	gesellan	gesealde	gesellan
+	&	&	None
-	eal	ealle	ealle
-	se	þa	þu
+	oðer	oðre	oðer
+	þeod	þeoda	þeod
-	þe	þe	þu
-	an	an	on
+	Creca	Crecum	creca
+	wesan	wæron	wesan
+	he	he	he
-	to	to	toh
+	gafolgilda	gafolgieldum	gafolgilda
+	gedon	gedyde	gedon
+	butan	buton	butan
+	Mæcedonie	Mæcedonium	mæcedonie
-	þe	þe	þu
-	he	him	him
+	ær	æst	ær
-	to	to	toh
+	gecirran	gecirdon	gecirran
+	&	&	None
+	þanan	þonan	þanan
+	wesan	wæs	wesan
+	faran	farende	faran
-	an	an	on
+	Nilirice	Nilirice	nilirice
+	&	&	None
+	on	on	on
+	Thracia	Thraci	thracia
+	&	&	None
+	hi	hie	hi
-	eal	ealle	ealle
-	to	to	toh
-	he	him	him
+	gebugan	gebigde	gebugan
+	&	&	None
+	siððan	siþþan	siððan
+	he	he	he
+	gegaderian	gegaderode	gegaderian
-	fyrd	fird	None
+	wiþ	wið	wiþ
+	Perse	Perse	perse
+	&	&	None
-	se	þa	þu
+	hwil	hwile	hwil
-	þe	þe	þu
+	he	he	he
-	heo	hie	hi
-	gaderian	gaderade	None
+	he	he	he
+	ofslean	ofslog	ofslean
-	eal	ealle	ealle
-	his	his	hit
+	mæg	mægas	mæg
-	þe	þe	þu
+	he	he	he
+	geræcan	geræcan	geræcan
+	magan	mehte	magan
+	on	On	on
-	his	his	hit
+	feðehere	feðehere	feðehere
+	wesan	wæron	wesan
+	þritigtwegen	XXXII	þritigtwegen
+	þusend	M	þusend
+	&	&	None
+	se	þæs	se
+	gehorsian	gehorsedan	gehorsian
+	fifta	fifte	fifta
+	healf	healf	healf
+	þusend	M	þusend
+	&	&	None
+	scip	scipa	scip
-	an	an	on
+	hund	hund	hund
+	&	&	None
+	eahtatig	eahtatig	eahtatig
+	ne	N	ne
-	witan	at	None
+	ic	ic	ic
-	cweþan	cwæð	cweðan
+	Orosius	Orosius	orosius
+	hwæðer	hwæðer	hwæðer
+	micel	mare	micel
+	wundor	wundor	wundor
+	wesan	wæs	wesan
-	þe	þe	þu
+	þæt	þæt	þæt
+	he	he	he
+	swa	swa	swa
+	mid	mid	mid
+	lytel	lytle	lytel
-	fultum	fultume	fultuman
